idNum	Q_TotalDuration	individ score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE	Copied_score	Condition	o_score	CopCopied	CopHobs	CopyFreq	CopScore	age	sex	edu	location	IC_1	IC_2	IC_3	IC_4	IC_5	IC_6	IC_7	IC_8	IC_9	IC_10	IC_11	IC_12	IC_13	IC_14	IC_15	IC_16	IC_17	IC_18	IC_19	IC_20	IC_21	IC_22	IC_23	IC_24	IC_25	IC_26	IC_27	IC_28	IC_29	IC_30	IC_31	IC_32	IC_33	IC_34	IC_35	IC_36	IC_37	IC_38	IC_39	IC_40	IC_41	IC_42	IC_43	IC_44	IC_45	IC_46	IC_47	IC_48	IC_49	IC_50	IC_51	IC_52	IC_53	IC_54	IC_55	IC_56	IC_57	IC_58	IC_59	IC_60	IC_61	IC_62	IC_63	IC_64	IC_65	IC_66	IC_67	IC_68	IC_69	IC_70	IC_71	IC_72	IC_73	IC_74	IC_75	IC_76	IC_77	IC_78	IC_79	IC_80	IC_81	IC_82	IC_83	IC_84	IC_85	IC_86	IC_87	IC_88	IC_89	IC_90	IC_91	IC_92	IC_93	IC_94	IC_95	IC_96	IC_97	IC_98	IC_99	IC_100	IC_101	IC_102	IC_103	IC_104	IC_105	IC_106	IC_107	IC_108	IC_109	IC_110	IC_111	IC_112	IC_113	IC_114	IC_115	IC_116	IC_117	IC_118	IC_119	IC_120	IC_121	IC_122	IC_123	IC_124	IC_125	IC_126	IC_127	IC_128	IC_129	IC_130	IC_131	IC_132	IC_133	IC_134	IC_135	IC_136	IC_137	IC_138	IC_139	IC_140	IC_141	IC_142	IC_143	IC_144	IC_145	IC_146	IC_147	IC_148	IC_149	IC_150	IC_151	IC_152	IC_153	IC_154	IC_155	IC_156	IC_157	IC_158	IC_159	IC_160	IC_161	IC_162	IC_163	IC_164	IC_165	IC_166	IC_167	IC_168	IC_169	IC_170	IC_171	IC_172	IC_173	IC_174	IC_175	IC_176	IC_177	IC_178	IC_179	IC_180	IC_181	IC_182	IC_183	IC_184	IC_185	IC_186	IC_187	IC_188	IC_189	IC_190	IC_191	IC_192	IC_193	IC_194	IC_195	IC_196	IC_197	IC_198	IC_199	IC_200	IC_201	IC_202	IC_203	IC_204	IC_205	IC_206	IC_207	IC_208	IC_209	IC_210	IC_211	IC_212	IC_213	IC_214	IC_215	IC_216	IC_217	IC_218	IC_219	IC_220	IC_221	IC_222	IC_223	IC_224	IC_225	IC_226	IC_227	IC_228	IC_229	IC_230	IC_231	IC_232	IC_233	IC_234	IC_235	IC_236	IC_237	IC_238	IC_239	IC_240	IC_241	IC_242	IC_243	IC_244	IC_245	IC_246	IC_247	IC_248	IC_249	IC_250	IC_251	IC_252	IC_253	IC_254	IC_255	IC_256	IC_257	IC_258	IC_259	IC_260	IC_261	IC_262	IC_263	IC_264	IC_265	IC_266	IC_267	IC_268	IC_269	IC_270	IC_271	IC_272	IC_273	IC_274	IC_275	IC_276	IC_277	IC_278	IC_279	IC_280	IC_281	IC_282	IC_283	IC_284	IC_285	IC_286	IC_287	IC_288	IC_289	IC_290	IC_291	IC_292	IC_293	IC_294	IC_295	IC_296	IC_297	IC_298	IC_299	IC_300	CopyFreq	CopScore	fr_1	fr_2	CopCopied	CopHobs	CopyFreq	CopScore
46	1019	70	15	14	16	25	4	A	74	0	5	5	0	25	Female	A level/ equivalent	Glasgow																																																																																																																																								One of their top three hobbies																																																																																										One of their top three hobbies																											One of their top three hobbies												One of their top three hobbies																														One of their top three hobbies						5	1	Because i did not know the answer	Because i thought i might know the answer	0	5	5	0
52	1321	72	14	20	19	19	0	A	72	0	0	0	0	46	Female	GCSE or equivalent	Chesterfield																																																																																																																																																																																																																																																																																																													0	1	I chose not to copy as i wanted right and wrong answers to be my own	I decided if i was going to get a question wrong it would be my wrong answer	0	0	0	0
53	1286	74	18	20	13	23	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	middlesbrough																																																																																																																																																																																																																																																																																																													0	1	i didnt	I wanted to make the decision by myself. I messed up about 5 easy answers because of the clock	0	0	0	0
55	556	50	9	15	14	12	0	A	50	0	0	0	0	20	Female	Prefer not to say	Carlisle																																																																																																																																																																																																																																																																																																													0	1	I never dod	Cause its cheating	0	0	0	0
59	1518	59	17	17	12	13	0	A	59	0	0	0	0	61	Female	GCSE or equivalent	Wolverhampton																																																																																																																																																																																																																																																																																																													0	1	didnt	wanted to see how much I knew	0	0	0	0
60	1047	63	18	10	14	21	0	A	63	1	0	1	0	20	Female	Degree BSc/BA/equivalent	Edinburgh 																																																																																																																																																				How many times they were copied																																																																																																																																																									1	1	I didn't 	Cause I wanted to try myself 	1	0	1	0
61	695	74	21	15	17	21	0	A	74	0	0	0	0	32	Male	Degree BSc/BA/equivalent	Norwich																																																																																																																																																																																																																																																																																																													0	1	I didnt	Wanted to do my best	0	0	0	0
63	1289	52	15	11	10	16	1	A	53	1	0	1	0	35	Male	GCSE or equivalent	London 																																																																																																																																																																																																																																		How many times they were copied																																																																											1	1	To get right answers 	To test mine 	1	0	1	0
64	1372	67	17	14	14	22	0	A	67	0	0	0	0	26	Female	Degree BSc/BA/equivalent	London																																																																																																																																																																																																																																																																																																													0	1	I didnt copy any answer	Same chance as getting right if I guessed myself	0	0	0	0
66	729	49	12	8	13	16	0	A	49	0	0	0	0	19	Female	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													0	1	In case they have more information and knowledge on a certain subject	In case it's wrong	0	0	0	0
71	615	57	11	11	17	18	1	A	58	1	0	1	0	30	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																																																																																																							How many times they were copied						1	1	no comment	no comment	1	0	1	0
74	1057	80	22	21	17	20	3	A	83	2	1	3	0	23	Female	Degree BSc/BA/equivalent	London													How many times they were copied																																																																																																																																																One of their top three hobbies																																										How many times they were copied																																																																																																						3	1	I had no idea what the answer was 	I thought that the reason for choosing someone else didn't make it clear if they knew the answer or could answer it better than me	2	1	3	0
76	1173	44	12	10	12	10	0	A	44	0	0	0	0	20	Male	A level/ equivalent	New york																																																																																																																																																																																																																																																																																																													0	1	I didn't 	Cuz I can be wrong 	0	0	0	0
77	735	61	13	17	13	18	0	A	61	0	1	1	0	20	Female	GCSE or equivalent																																																																																																																																																					One of their top three hobbies																																																																																																																																																									1	1	I needed help	I didnt need help	0	1	1	0
