Idnum	individScore	geogScore	artScore	langScore	weightScore	Copied_score	Condition	o_score	copCopied	copHobs	copyFreq	copScore	age	gender	edu	city	Q1A	Q1B	Q1C	Q2A	Q2B	Q2C	Q3A	Q3B	Q3C	Q4A	Q4B	Q4C	Q5A	Q5B	Q5C	Q6A	Q6B	Q6C	Q7A	Q7B	Q7C	Q8A	Q8B	Q8C	Q9A	Q9B	Q9C	Q10A	Q10B	Q10C	Q11A	Q11B	Q11C	Q12A	Q12B	Q12C	Q13A	Q13B	Q13C	Q14A	Q14B	Q14C	Q15A	Q15B	Q15C	Q16A	Q16B	Q16C	Q17A	Q17B	Q17C	Q18A	Q18B	Q18C	Q19A	Q19B	Q19C	Q20A	Q20B	Q20C	Q21A	Q21B	Q21C	Q22A	Q22B	Q22C	Q23A	Q23B	Q23C	Q24A	Q24B	Q24C	Q25A	Q25B	Q25C	Q26A	Q26B	Q26C	Q27A	Q27B	Q27C	Q28A	Q28B	Q28C	Q29A	Q29B	Q29C	Q30A	Q30B	Q30C	Q31A	Q31B	Q31C	Q32A	Q32B	Q32C	Q33A	Q33B	Q33C	Q34A	Q34B	Q34C	Q35A	Q35B	Q35C	Q36A	Q36B	Q36C	Q37A	Q37B	Q37C	Q38A	Q38B	Q38C	Q39A	Q39B	Q39C	Q40A	Q40B	Q40C	Q41A	Q41B	Q41C	Q42A	Q42B	Q42C	Q43A	Q43B	Q43C	Q43A	Q44B	Q44C	Q45A	Q45B	Q45C	Q46A	Q46B	Q46C	Q47A	Q47B	Q47C	Q48A	Q48B	Q48C	Q49A	Q49B	Q49C	Q50A	Q50B	Q50C	Q51A	Q51B	Q51C	Q52A	Q52B	Q52C	Q53A	Q53B	Q53C	Q54A	Q54B	Q54C	Q55A	Q55B	Q55C	Q56A	Q56B	Q56C	Q57A	Q57B	Q57C	Q58A	Q58B	Q58C	Q59A	Q59B	Q59C	Q60A	Q60B	Q60C	Q61A	Q61B	Q61C	Q62A	Q62B	Q62C	Q63A	Q63B	Q63C	Q64A	Q64B	Q64C	Q65A	Q65B	Q65C	Q66A	Q66B	Q66C	Q67A	Q67B	Q67C	Q68A	Q68B	Q68C	Q69A	Q69B	Q69C	Q70A	Q70B	Q70C	Q71A	Q71B	Q71C	Q72A	Q72B	Q72C	Q73A	Q73B	Q73C	Q74A	Q74B	Q74C	Q75A	Q75B	Q75C	Q76A	Q76B	Q76C	Q77A	Q77B	Q77C	Q78A	Q78B	Q78C	Q79A	Q79B	Q79C	Q80A	Q80B	Q80C	Q81A	Q81B	Q81C	Q82A	Q82B	Q82C	Q83A	Q83B	Q83C	Q84A	Q84B	Q84C	Q85A	Q85B	Q85C	Q86A	Q86B	Q86C	Q87A	Q87B	Q87C	Q88A	Q88B	Q88C	Q89A	Q89B	Q89C	Q90A	Q90B	Q90C	Q91A	Q91B	Q91C	Q92A	Q92B	Q92C	Q93A	Q93B	Q93C	Q94A	Q94B	Q94C	Q95A	Q95B	Q95C	Q96A	Q96B	Q96C	Q97A	Q97B	Q97C	Q98A	Q98B	Q98C	Q99A	Q99B	Q99C	Q100A	Q100B	Q100C	why1	why2
79	69	16	18	14	21	0	B	69	0	0	0	0	20	Female	GCSE or equivalent	Birmingham																																																																																																																																																																																																																																																																																																													I didnt	Easier
80	60	17	15	15	13	0	C	60	0	0	0	0	51	Female	GCSE or equivalent	Staffordshire																																																																																																																																																																																																																																																																																																													I didn't copy anyone else at all	I wanted to have a go with just my own answers
81	54	16	12	10	16	0	A	54	0	0	0	0	32	Female	Degree BSc/BA/equivalent	Exeter																																																																																																																																																																																																																																																																																																													I didn't 	I guessed the answer
82	69	15	23	12	19	2	A	71	2	1	3	0	29	Female	Degree BSc/BA/equivalent	London 																																																													I was copied twice																																																																														I was copied 4 times																																																																																																																																																																		Interest	Topics are not informative
83	78	20	20	18	20	0	B	78	0	0	0	0	49	Female	Degree BSc/BA/equivalent	Ventnor/Southampton 																																																																																																																																																																																																																																																																																																													I didn't. 	I could not make the copy button work. So could not use it! I would have used it alot in the language and weight section otherwise. I enjoyed this quiz and would be happy to do more. 
84	58	13	9	16	20	0	A	58	0	0	0	0	48	Female	No formal education completed	manchester																																																																																																																																																																																																																																																																																																													i wouldnt	it not right
85	69	16	18	13	22	0	C	69	0	0	1	1	58	Male	Apprenticeship / trade / technical / vocational training	oxford																																																																																																																																																																																																																																																																																																													easier	thought i had the correct answer
86	59	16	9	12	22	9	C	68	1	0	12	11	29	Male	Masters level MSc/MRes/MA/equivalent	Edinburgh																																																																																																																																																																																																																																																																																																			I was copied 5 times										didn't know	knew answer
87	49	14	10	12	13	0	B	49	0	0	0	0	30	Male	Apprenticeship / trade / technical / vocational training	Exeter 																																																																																																																																																																																																																																																																																																													dont know the answer 	i felt confident in my answer 
88	56	12	12	16	16	1	C	57	0	0	2	2	34	Male	GCSE or equivalent	Swindon																																																																																																																																																																																																																																																																																																													Unsure urself	Could b wrong 
89	62	13	14	17	18	0	C	62	1	0	1	0	37	Female	Degree BSc/BA/equivalent	Derby									I was copied 6 times																																																																																																																																																																																																																																																																																																				I did not copy	I thught I knew
90	70	17	18	16	19	0	B	70	0	0	0	0	30	Female	Apprenticeship / trade / technical / vocational training	Cardiff																																																																																																																																																																																																																																																																																																													I didn't.	I like making decisions for myself.
91	46	16	10	10	10	2	A	48	1	1	2	0	39	Female	GCSE or equivalent	London 																																																																																																																																																																						I was copied 4 times																																																																																																																																							I struggled 	I wanted to used ny own knowledge 
92	46	9	8	13	16	11	A	57	9	8	17	0	52	Female	A level/ equivalent	Bristol 																																								I was copied twice																								I was copied 5 times																																																																								I was never copied																																																																								I was never copied																					I was copied 4 times			I was copied 3 times																														I was copied 5 times																					I was copied once			I was copied twice															Time was running out 	Hoped I knew the answer 
93	49	14	11	10	14	0	A	49	0	0	0	0	33	Female	Degree BSc/BA/equivalent	Durham 																																																																																																																																																																																																																																																																																																													If u do not know the answer 	Try to do it on your own 
94	58	16	8	12	22	5	C	63	9	0	11	2	47	Male	Degree BSc/BA/equivalent	London			I was never copied																																																																																																																					I was copied once																																																																																																															I was copied 5 times															I was copied 5 times																					I was copied 5 times						I was never copied						I was copied 6 times									I was copied 6 times												I was copied once	I had no clue in the answer	I thought I know the answer
95	75	18	19	19	19	1	A	76	1	1	2	0	43	Female	Degree BSc/BA/equivalent	Andover																																																																																																																																																																																																																																																																									I was copied 5 times																																				I wanted to see how it worked	I prefer to trust my own intellect.
96	68	16	14	18	20	2	C	70	0	0	2	2	29	Female	Degree BSc/BA/equivalent	Staffordshire 																																																																																																																																																																																																																																																																																																													I hoped they‰Ûªd know the answer 	Speed
97	56	16	13	10	17	1	B	57	0	1	1	0	39	Female	Apprenticeship / trade / technical / vocational training	Edinburgh																																																																																																																																																																																																																																																																																																													Didnt know answer	Choose to answer
98	67	12	19	16	20	1	C	68	1	0	2	1	28	Female	GCSE or equivalent	Bristol 						I was copied 5 times																																																																																																																																																																																																																																																																																																							Because I really wasn‰Ûªt sure of the answer	Because I could guess the answer 
99	60	12	15	14	19	4	C	64	1	0	4	3	66	Female	GCSE or equivalent	exeter																																																																																																																																																																																																																																																																																													I was copied 3 times																not sure of the answer	thought i knew the answer
100	67	17	13	17	20	0	A	67	0	0	0	0	40	Female	Apprenticeship / trade / technical / vocational training																																																																																																																																																																																																																																																																																																														none	incase its wrong
101	67	17	15	17	18	0	A	67	0	0	0	0	30	Male	Degree BSc/BA/equivalent	London																																																																																																																																																																																																																																																																																																													I didnt	No one to copy
102	60	12	14	12	22	0	B	60	1	0	1	0	36	Male	GCSE or equivalent	Sheffield								I was copied 6 times																																																																																																																																																																																																																																																																																																					Nwhen o had no idea and was intreged at others abilities	Rime restriction made me more lilely to at least guess
103	53	13	12	14	14	2	B	55	1	3	4	0	36	Female	Degree BSc/BA/equivalent	Aberdeen																																																																																			I was copied 4 times																																																																																																																																																																																																																										Tried to match their interest e.g.  Educational question to reading hobby. Meditation to artistic question 	Didn't think hobby related to question topic 
104	61	10	19	13	19	8	A	69	3	8	11	0	25	Female	Degree BSc/BA/equivalent	Preston				I was copied 5 times																																	I was copied 3 times																														I was copied 5 times																																																																																																																																																																																																																																										Better than a guess	When I knew it myself
105	69	15	19	14	21	0	A	69	0	1	1	0	57	Female	Apprenticeship / trade / technical / vocational training	Norwich																																																																																																																																																																																																																																																																																																													I did it once and then decided I'd prefer to do it unaided	It felt like cheating and I wanted the score based on my own merits
106	66	16	15	18	17	5	B	71	2	4	6	0	42	Male	A level/ equivalent	Hull																																																																																																																																																																	I was copied once																																																																																																																																	I was copied 5 times											Didn't know	Knew answers or guesed
107	24	12	3	8	1	22	A	46	18	21	41	0	43	Male	Degree BSc/BA/equivalent	Borehamwood																																																																												I was never copied												I was never copied						I was copied 5 times									I was copied once									I was copied 5 times																			I was copied twice																																I was copied twice																		I was copied once																		I was copied 4 times									I was never copied			I was copied once			I was copied 5 times																												I was copied once		I was copied 5 times												I was never copied																								I was copied twice						I was never copied						I was copied 3 times									I don‰Ûªt know	None
108	60	13	13	14	20	0	B	60	0	0	0	0	27	Female	GCSE or equivalent	Peterborough																																																																																																																																																																																																																																																																																																													I didnt	I wanted to test my knowledge
109	81	18	24	19	20	0	C	81	0	0	0	0	46	Female	Masters level MSc/MRes/MA/equivalent	Colchester																																																																																																																																																																																																																																																																																																													Didn‰Ûªt copy	Wanted to do it myself
110	67	15	19	14	19	2	B	69	3	1	4	0	38	Female	Degree BSc/BA/equivalent	Lowestoft																																																																																																																							I was copied once																																							I was copied 6 times																																																																																																																								I was copied 6 times																							Because I didnt know the answer 	because I didnt know if other people were right either so I might as well take a 50/50 chance
111	67	16	14	16	21	0	C	67	0	0	0	0	39	Female	GCSE or equivalent	cardiff																																																																																																																																																																																																																																																																																																													i didnt	i wanted to see how well i could do on my own
112	73	17	18	17	21	0	A	73	0	0	0	0	38	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													I didn't knowing that similar interests don't provide similarities in today's world.	"I'd rather take a guess from my stored memory. Also, as the instructions around this were confusing."
113	65	15	11	20	19	0	A	65	0	0	0	0	56	Female	GCSE or equivalent	swansea																																																																																																																																																																																																																																																																																																													I didnt copy anyone elses	I preferred to choose the answers myself even if they were wrong I knew then that the score I achieved was on my own merit and no one elses
114	66	11	19	15	21	0	B	66	0	0	0	0	34	Female	Degree BSc/BA/equivalent	Scarborough																																																																																																																																																																																																																																																																																																													I did not	"because choosing whom to copy based on how many other people had previously copied them seemed pretty random, and choosing based on hobbies quite impossible"
115	58	17	15	15	11	0	B	58	0	0	0	0	32	Female	A level/ equivalent	Lincoln																																																																																																																																																																																																																																																																																																													Stuck	Not a cheat
116	69	17	16	16	20	0	A	69	0	1	2	0	36	Male	A level/ equivalent	london																																																																																																																																																																																																																																																																																																													try to how it works	''option'' did not hel
117	53	12	9	12	20	1	C	54	0	0	1	1	37	Female	A level/ equivalent	Edinburgh																																																																																																																																																																																																																																																																																																													When i get bit stuck	Good to answer urself
118	65	16	12	19	18	0	A	65	0	0	0	0	39	Female	Masters level MSc/MRes/MA/equivalent	London																																																																																																																																																																																																																																																																																																													I didn't	I'm not opposed to learning from others. But surely it's a fool's errand to attempt to copy answers from generic people I know nothing about who may score much worse than my own efforts.
119	65	12	17	16	20	1	C	66	1	0	2	1	18	Female	A level/ equivalent	Brighton																																																																																																									I was copied once																																																																																																																																																																																																				may have better general knowledge	time purposes
120	59	15	13	16	15	0	B	59	0	0	0	0	42	Male	GCSE or equivalent	London 																																																																																																																																																																																																																																																																																																													Do no the answer 	Do no the answer 
121	55	14	11	14	16	0	B	55	0	0	0	0	62	Male	GCSE or equivalent	Felixstowe																																																																																																																																																																																																																																																																																																													I did not copy any	I did not copy as I did not want to
122	73	20	14	17	22	0	C	73	0	0	0	0	31	Female	Degree BSc/BA/equivalent	LONDON																																																																																																																																																																																																																																																																																																													i didnt copy anyone answer	cos i wanted to answer them on my own
123	70	16	18	18	18	2	A	72	2	0	2	0	62	Male	Apprenticeship / trade / technical / vocational training	london																																																																																																																																																																																																																																																										I was copied twice															I was copied 5 times																																				cluless on answer	thought i had correct answer
124	67	12	17	18	20	2	A	69	1	1	2	0	27	Female	Apprenticeship / trade / technical / vocational training	Nottingham 																																																																																																																																																																						I was copied 4 times																																																																																																																																							Neither answer seemed familiar	I had a 50% chance of getting the right answer if I guessed
125	65	16	17	14	18	2	B	67	1	1	2	0	24	Male	A level/ equivalent	London																																																																																																																																																																													I was copied 4 times																																																																																																																																Because I had no educated guess to what the answer could be	Because I felt like I could give an educated guess
126	60	14	15	14	17	0	A	60	0	0	0	0	30	Male	A level/ equivalent	London 																																																																																																																																																																																																																																																																																																													Yes	Not
127	49	9	14	11	15	12	C	61	10	0	16	6	30	Male	Prefer not to say	South Yorkshire																					I was copied 5 times																											I was copied once															I was never copied																														I was never copied																																																																					I was copied twice																																	I was copied once						I was copied 5 times																																																																														I was copied 6 times															I was copied 4 times						I was copied once	"I thought if they did well/were copied a lot it might be right, and I didn't know the answer"	"I wanted to try and learn for myself, even though it was very fast and I often didn't know"
128	70	16	17	15	22	3	B	73	1	2	3	0	41	Male	GCSE or equivalent	Sheffield																																																																																																																																																																																																								I was copied 5 times																																																																																																					Because i could not even guess the answer	I would take an educated guess
129	55	13	10	15	17	1	C	56	0	0	1	1	18	Male	Prefer not to say	Southampton 																																																																																																																																																																																																																																																																																																													DId not know answer	Had an idea of answer
130	60	13	8	17	22	6	B	66	6	3	9	0	33	Female	Apprenticeship / trade / technical / vocational training																																																																																																																					I was copied twice																																																																																	I was never copied																																																			I was copied 6 times			I was copied twice									I was copied 5 times																		I was copied 6 times																							because i was unsure	you dont know them
131	47	12	15	9	11	4	A	51	4	0	4	0	26	Male	GCSE or equivalent	Leicester																																																																																																							I was copied once									I was copied 5 times																																																																																				I was never copied									I was copied twice																																																																																																Didnt know myself	Might be wrong
132	63	15	13	16	19	1	B	64	1	0	1	0	39	Male	A level/ equivalent	Swansea																																																																																																																																																																																																																																																																																						I was copied 6 times																							I didn't know the answer	To see how lucky I am
133	69	14	17	20	18	2	B	71	2	2	4	0	44	Male	A level/ equivalent	manchester																																																																																																																							I was copied once																																																																																																																																																			I was copied 5 times																																			luck and calculations	dependant on the subject matter
134	67	17	14	14	22	0	A	67	1	0	1	0	43	Male	Degree BSc/BA/equivalent	Reading																																																																																																																																																																																																																																					I was copied 3 times																																																																								couldnt guess	Guessed
135	55	12	17	13	13	5	C	60	1	0	5	4	35	Male	Doctorate	Glasgow																					I was copied 5 times																																																																																																																																																																																																																																																																																								It was easier	I knew it
136	63	16	14	14	19	0	C	63	0	0	2	2	37	Male	A level/ equivalent	Bury st Edmunds 																																																																																																																																																																																																																																																																																																													Just didn't know the answer 	Because I was confident of the answer 
137	54	12	14	10	18	1	A	55	2	1	3	0	40	Male	Prefer not to say	Worcester																																																																																																													I was copied 3 times																																																																																																																																																						I was copied 4 times																																										Dont no the answer	They could be wrong
138	56	13	12	15	16	7	B	63	7	3	10	0	34	Male	Masters level MSc/MRes/MA/equivalent	Manchester 																																															I was copied once									I was copied twice																																																																																																																																																																																	I was copied 4 times			I was copied twice																														I was copied 5 times									I was copied 5 times															I was copied 5 times											They have a higher chance of getting it right	They might be wrong 
139	62	13	12	16	21	1	C	63	0	0	1	1	23	Male	GCSE or equivalent	Runcorn																																																																																																																																																																																																																																																																																																													Help me time to time	Might be wrong
140	55	17	7	15	16	2	C	57	0	0	2	2	31	Male	GCSE or equivalent	nottingham																																																																																																																																																																																																																																																																																																													had nno idea	prefer to make a guess
141	46	14	10	12	10	2	C	48	1	0	3	2	19	Male	GCSE or equivalent	Laindon 																																																																																																																																																																																																																																																																																																I was copied 6 times													Because i did not understand the question or i did not know anything about the two answers i got given	Because i like to learn individually sometimes and if i dont make mistakes how can i learn from them
142	55	13	12	17	13	4	A	59	3	2	5	0	19	Male	GCSE or equivalent	Brighton																																																																																																							I was copied once																																																																																																																											I was copied twice																																																			I was copied twice																								Not sure on the correct answer	Never learn if you don‰Ûªt try
143	57	12	13	19	13	0	C	57	0	0	0	0	29	Male	A level/ equivalent	Blackpool																																																																																																																																																																																																																																																																																																													I didn't copy anybodys answer	That is cheating
144	44	11	12	8	13	5	C	49	3	0	6	3	18	Male	Doctorate	Southampyon																																																																					I was copied 6 times																																																																																																																		I was never copied																																																																								I was copied once																																														I don't no 	I don't no 
145	90	23	23	21	23	0	C	90	0	0	0	0	48	Male	Doctorate	swansea																																																																																																																																																																																																																																																																																																													i didn't	I know the answers
146	76	18	16	19	23	5	B	81	1	6	7	0	28	Male	A level/ equivalent	canterbury																																																																																																																																																																																																																																																																																																					I was copied 4 times								Only if I felt the topic would lend itself to a knowledge base rooted in obvious hobbies	"Insufficient information available from hobbies - might as well guess! Previous ""copied score"" is useless"
147	46	12	10	11	13	1	B	47	1	0	1	0	19	Male	GCSE or equivalent	Wolverhampton																							I was copied once																																																																																																																																																																																																																																																																																						No clue 	A clue
148	53	13	13	14	13	0	C	53	0	0	0	0	27	Male	GCSE or equivalent	Stockton On Tees																																																																																																																																																																																																																																																																																																													I don't	because its cheating
149	62	19	16	11	16	0	C	62	0	0	0	0	27	Male	Prefer not to say	Glasgow																																																																																																																																																																																																																																																																																																													Didn't do	I want my own answers
150	74	19	14	20	21	0	B	74	0	0	0	0	54	Male	GCSE or equivalent	torquay																																																																																																																																																																																																																																																																																																													not needed	not needed
151	51	11	10	13	17	1	A	52	0	1	1	0	25	Male	Masters level MSc/MRes/MA/equivalent	London																																																																																																																																																																																																																																																																																																													Because I didn't know the answer.	Because I was confident to give the answer.
152	54	15	13	15	11	0	A	54	0	0	0	0	42	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																																																																																																													I have not copied any replies	I want to test my knowledge
153	58	14	14	16	14	0	A	58	0	0	0	0	42	Male	A level/ equivalent	london																																																																																																																																																																																																																																																																																																													I didn't	Don't trust anyone else
154	58	14	11	12	21	11	C	69	0	0	17	17	27	Male	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													Had no idea of the answer	I had an idea of the answer
155	67	14	16	17	20	2	C	69	1	0	2	1	35	Male	GCSE or equivalent	London																																																																																																																																																																																																																																										I was copied 4 times																																																																			Only did it twice	Wanted to test myself
156	63	17	12	18	16	0	C	63	0	0	0	0	18	Male	GCSE or equivalent	Essex																																																																																																																																																																																																																																																																																																													To get it right	If it is wrong
