Idnum	individScore	geogScore	artScore	langScore	weightScore	Copied_score	Condition	o_score	copCopied	copHobs	copyFreq	copScore	age	gender	edu	city	Q1A	Q1B	Q1C	Q2A	Q2B	Q2C	Q3A	Q3B	Q3C	Q4A	Q4B	Q4C	Q5A	Q5B	Q5C	Q6A	Q6B	Q6C	Q7A	Q7B	Q7C	Q8A	Q8B	Q8C	Q9A	Q9B	Q9C	Q10A	Q10B	Q10C	Q11A	Q11B	Q11C	Q12A	Q12B	Q12C	Q13A	Q13B	Q13C	Q14A	Q14B	Q14C	Q15A	Q15B	Q15C	Q16A	Q16B	Q16C	Q17A	Q17B	Q17C	Q18A	Q18B	Q18C	Q19A	Q19B	Q19C	Q20A	Q20B	Q20C	Q21A	Q21B	Q21C	Q22A	Q22B	Q22C	Q23A	Q23B	Q23C	Q24A	Q24B	Q24C	Q25A	Q25B	Q25C	Q26A	Q26B	Q26C	Q27A	Q27B	Q27C	Q28A	Q28B	Q28C	Q29A	Q29B	Q29C	Q30A	Q30B	Q30C	Q31A	Q31B	Q31C	Q32A	Q32B	Q32C	Q33A	Q33B	Q33C	Q34A	Q34B	Q34C	Q35A	Q35B	Q35C	Q36A	Q36B	Q36C	Q37A	Q37B	Q37C	Q38A	Q38B	Q38C	Q39A	Q39B	Q39C	Q40A	Q40B	Q40C	Q41A	Q41B	Q41C	Q42A	Q42B	Q42C	Q43A	Q43B	Q43C	Q43A	Q44B	Q44C	Q45A	Q45B	Q45C	Q46A	Q46B	Q46C	Q47A	Q47B	Q47C	Q48A	Q48B	Q48C	Q49A	Q49B	Q49C	Q50A	Q50B	Q50C	Q51A	Q51B	Q51C	Q52A	Q52B	Q52C	Q53A	Q53B	Q53C	Q54A	Q54B	Q54C	Q55A	Q55B	Q55C	Q56A	Q56B	Q56C	Q57A	Q57B	Q57C	Q58A	Q58B	Q58C	Q59A	Q59B	Q59C	Q60A	Q60B	Q60C	Q61A	Q61B	Q61C	Q62A	Q62B	Q62C	Q63A	Q63B	Q63C	Q64A	Q64B	Q64C	Q65A	Q65B	Q65C	Q66A	Q66B	Q66C	Q67A	Q67B	Q67C	Q68A	Q68B	Q68C	Q69A	Q69B	Q69C	Q70A	Q70B	Q70C	Q71A	Q71B	Q71C	Q72A	Q72B	Q72C	Q73A	Q73B	Q73C	Q74A	Q74B	Q74C	Q75A	Q75B	Q75C	Q76A	Q76B	Q76C	Q77A	Q77B	Q77C	Q78A	Q78B	Q78C	Q79A	Q79B	Q79C	Q80A	Q80B	Q80C	Q81A	Q81B	Q81C	Q82A	Q82B	Q82C	Q83A	Q83B	Q83C	Q84A	Q84B	Q84C	Q85A	Q85B	Q85C	Q86A	Q86B	Q86C	Q87A	Q87B	Q87C	Q88A	Q88B	Q88C	Q89A	Q89B	Q89C	Q90A	Q90B	Q90C	Q91A	Q91B	Q91C	Q92A	Q92B	Q92C	Q93A	Q93B	Q93C	Q94A	Q94B	Q94C	Q95A	Q95B	Q95C	Q96A	Q96B	Q96C	Q97A	Q97B	Q97C	Q98A	Q98B	Q98C	Q99A	Q99B	Q99C	Q100A	Q100B	Q100C	why1	why2
19	60	13	16	13	18	1	C	61	0	0	1	1	29	Female	Masters level MSc/MRes/MA/equivalent	Manchester 																																																																																																																																																																																																																																																																																																													If I didn't know the answer copying would give me a chance of getting the answer right	Incase that persons answer was wrong
20	68	13	14	19	22	1	B	69	2	0	2	0	28	Male	A level/ equivalent																																													I was copied once																																																																																																																																																									I was never copied																																																																																																								To see what other people thought it was	I wanted to save it for s harder question
21	54	16	9	13	16	1	A	55	0	1	1	0	32	Female	GCSE or equivalent	Manchester																																																																																																																																																																																																																																																																																																													Don't know it	Think I might know it 
22	63	15	15	15	18	0	A	63	0	0	0	0	23	Female	A level/ equivalent	London																																																																																																																																																																																																																																																																																																													I did not copy anyone	I wanted to test my own knowledge
23	53	9	16	11	17	20	C	73	0	0	31	31	37	Male	A level/ equivalent	Manchester																																																																																																																																																																																																																																																																																																													Didn't know the answer	Thought I knew the answer or could at least make an educated guess!
24	59	11	17	15	16	1	B	60	0	1	1	0	24	Female	A level/ equivalent	London																																																																																																																																																																																																																																																																																																														
25	55	15	12	14	14	1	B	56	1	0	1	0	42	Male	Masters level MSc/MRes/MA/equivalent	london																																																																																																																																																																																																																							I was copied 5 times																																																																																						help	examine my knowledge
26	71	17	17	18	19	5	B	76	6	2	8	0	38	Female	Degree BSc/BA/equivalent	Swansea																																																																																																																																																																																									I was copied 5 times												I was never copied																																				I was copied 4 times																														I was copied 4 times			I was copied 5 times																								I was copied 5 times											Because I wasn't sure or I had no idea what was the right answer	I wasn't sure but I wanted to try anyway
27	52	9	13	13	17	3	C	55	1	0	4	3	25	Female	A level/ equivalent	Los Angeles 			I was never copied																																																																																																																																																																																																																																																																																																										Cause I didn't know the answer	Cause I knew the answer
28	62	17	15	13	17	0	A	62	0	0	0	0	21	Male	A level/ equivalent	Forfar																																																																																																																																																																																																																																																																																																													I didn't.	Because i was focusing too much on the question to think about copying
29	63	14	20	14	15	0	C	63	0	0	0	0	41	Male	GCSE or equivalent	CARDIFF																																																																																																																																																																																																																																																																																																													TO LEARN IT 	ITS A FORM OF CHEATING 
30	57	16	15	13	13	8	B	65	7	6	13	0	49	Male	No formal education completed	Birmingham																							I was never copied									I was never copied																																																																											I was never copied																																																									I was copied once																																																																								I was copied twice			I was copied once																																																						I was copied 4 times								To desieve others	Becuse it could be wrong
31	42	14	10	5	13	12	C	54	2	0	20	18	63	Male	No formal education completed	newcastle																																																																																	I was copied 5 times																																																												I was copied 5 times																																																																																																																																																																i am a bit of a dum 	i thought i might know it
32	74	13	21	19	21	0	C	74	0	0	1	1	62	Female	Masters level MSc/MRes/MA/equivalent	Exeter																																																																																																																																																																																																																																																																																																													I did not copy any answers because I preferred to take an educated guess when I did not know the answer.	Ditto above
33	68	21	15	15	17	0	B	68	0	0	0	0	41	Male	GCSE or equivalent	Harwich 																																																																																																																																																																																																																																																																																																														Clueless 
34	77	18	22	18	19	0	C	77	0	0	0	0	64	Male	Apprenticeship / trade / technical / vocational training	Durham																																																																																																																																																																																																																																																																																																													i did not	i thought i knew the answer
