QUESTION	ID	COPIED_B	HOB	SCORE	CORRECT?			ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1	68	6	Skating	53	0			1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1
1	72	2	Yoga	78	0			2	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0
1	82	1	Jigsaws	71	1			3	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0		1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	1	0
1	81	0	Cycling	70	0			4	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1
1	80	0	Gym	40	0			5	0	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1		1	0	0	1	1	0	1	0	0	0	0
2	59	5	Drawing	54	1			6	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	1
2	54	3	Cooking	60	1			7	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1
2	63	1	Zumba	55	0			8	1	1	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	1
2	60	0	Fishing	50	0			9	1	0	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0
2	61	0	Cycling	66	1			10	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0
3	45	6	Painting	76	0			11	1	0	1	1	1	1	0	0		1	1	0	1		0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
3	29	3	Tennis	52	1			12	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
3	33	1	Gardening	84	1			13	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	0
3	32	0	Cricket	49	1			14	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	0
3	31	0	Cooking	68	0			15	0	1	1	0	1	1	1	1	1	1	0	1		1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
