ID	FILM	F_OTHER	SPORT	S_OTHER	FOOD	FD_OTHER	MUSIC	M_OTHER	INSTRUMENTS	I_OTHER	HOBBY1	HOB_NUM1	HOBBY2	HOB_NUM2	HOBBY3	HOB_NUM3	AGE	GENDER	EDU	CITY	Overall Score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE
1	4		11	Horse riding 	4		11	Musical soundtrack 	12		Acting 	1	Horse riding 	0	Na	0	23	2	4	Ormskirk 	68	16	16	14	22
58	"3,6"		"1,2,4,7"		"1,3,4,6"		"6,10"		"1,3,6"		Cooking	4	Gym	3	Netflix 	4	21	2	6	Birmingham 	52	15	12	13	12
86	5		3		3		4		"1,7,10"		Cooking	4	Running	5	Opera	0	37	1	6	Reading	80	18	18	19	25
87	"1,6,8"		"2,6,9"		"1,2,3,4,5,6,7,9,10"		"3,6,7,9,10"		12		Football	5	Video Games	2	Partying	0	24	1	5	Liverpool	61	17	12	12	20
84	1		2		11	english	11	all types	12		cooking	4	gardening	0	pc 	0	64	1	1	leicester	64	17	15	15	17
3	3		6		6		9		12		Watching tv	3	Walking dog	6	Playing games	1	20	2	3	Cardiff 	73	18	15	18	22
56	4		6		6		5		"2,10"		Drawing	10	Baking	1	Reading	3	18	2	4	London	76	15	24	15	22
63	"1,2,3,4,6,10"		"1,2,6,7,9"		"3,4,6"		10		6		Zumba	8	Dancing	0	Reading	3	33	2	3	Derby	55	10	12	13	20
64	2		4		6		9		"1,11"	Trumpet 	Trumpet	26	Games	2	Reading	3	42	2	7	Woking	60	13	12	14	21
67	"4,8,9"		2		"5,6"		"2,5,8"		1		Cooking	4	Yoga	7	Reading	3	27	2	7	London	69	12	22	13	22
72	4		1		6		1		4		gardening	20	yoga	7	reading	3	46	2	4	Manchester	78	19	20	21	18
69	"1,2,3,4,5,6,7,8,9,10"		"1,6,7,8"		"3,4,6"		"5,6,9"		1		Cinema 	19	Cooking 	1	Reading 	3	26	2	3	Llanelli	56	18	11	11	16
